"siteID","collectDate","sampleID","TSS","UV Absorbance (280 nm)","TDP","TDS","SO4","Na","TOC","DOC","NO3+NO2 - N","Ortho - P","HCO3","Mn","DIC","Si","TP","CO3","Ca","conductivity","NO2 - N","Fe","F","TPC","TPN","ANC","Br","UV Absorbance (250 nm)","TDN","TN","Mg","Cl","TSS - Dry Mass","K","NH4 - N","pH"
"ARIK",2017-04-06 21:45:00,"ARIK.W1.20170406",8,0.0204,0.013,304.9,15.27,26.103,1.003,1.054,1.722,0.024,252.32,0.003,45.36,4.12,0.015,0,46.54,435.9,0.033,5e-04,1.11,0.7567,0.0923,4.24,0.005,0.0248,1.725,1.726,15.24,5.88,200,7.375,0.008,7.88
"ARIK",2018-04-19 15:03:00,"ARIK.W2.20180419",12,0.0073,0.0225,310.8,14.9789,16.4495,0.831,1.121,1.9016,0.03,232.37,5e-04,46.3,25.2564,0.025,0.005,43.5673,441.9,0.0131,5e-04,0.005,0.2971,0.0385,4.15,0.005,0.0173,1.957,1.967,13.1331,9.7024,600,5.6482,0.0151,7.57
"ARIK",2018-04-19 16:02:00,"ARIK.W5.20180419",6,0.0615,0.0073,449.2,5.288,22.4984,2.972,3.049,0.0155,0.068,375.49,0.142,78.65,26.4053,0.0204,0.005,75.0327,635.2,0.0135,0.0497,0.005,0.3005,0.0494,0.56,0.005,0.0967,0.4411,0.4301,16.1214,11.5322,300,7.0356,0.0699,7.29
"ARIK",2018-04-19 16:47:00,"ARIK.W4.20180419",6,0.146,0.0417,467.4,1.0875,24.83,3.82,4.012,0.0117,0.068,407.69,0.3413,84.19,26.228,0.0599,0.005,77.0937,665.6,0.0135,0.3176,0.005,0.2653,0.0598,6.93,0.005,0.2003,0.0631,0.4035,18.758,9.6334,300,7.4329,0.1624,7.28
"ARIK",2018-04-19 17:41:00,"ARIK.W1.20180419",16,0.0138,0.016,304.6,15.8035,17.8779,0.9427,1.126,1.6617,0.064,241.69,5e-04,46.61,26.4415,0.0374,0.005,44.2006,432.9,0.0127,5e-04,0.005,0.3187,0.0487,4.02,0.005,0.0207,1.742,0.0631,13.0623,7.3065,800,6.313,0.0077,7.66
"ARIK",2018-08-07 14:44:00,"ARIK.W2.20180807",20,0.0041,5e-04,282.47,15.657,19.34,0.4807,0.5189,1.6376,1.649,249.4124,0.001,45.6,29.4864,0.004,0.005,40.1768,393,0.0262,5e-04,0.4983,0.4116,0.052,4.91,0.005,0.0065,2.058,1.977,17.02,7.7427,1000,5.728,0.0043,7.91
"ARIK",2018-08-07 15:34:00,"ARIK.W5.20180807",14,0.0542,0.0551,367.98,7.422,25.84,2.964,2.746,0.0119,0.082,360.7772,0.089,74.83,29.5847,0.078,0.005,61.819,553.5,0.0165,0.0099,0.005,0.3887,0.091,6.35,0.005,0.0787,0.2864,0.3701,20.25,9.9832,700,6.516,0.059,7.55
"ARIK",2018-08-07 16:29:00,"ARIK.W4.20180807",2,0.1588,0.0276,421.63,1.656,30.46,3.81,4.157,0.0152,0.019,431.8702,0.323,87.88,32.0287,0.0831,0.005,71.717,600.6,0.0181,0.1086,0.005,0.3982,0.0824,7.84,0.005,0.2108,0.4754,0.443,23.93,14.2979,100,8.189,0.1833,7.68
"ARIK",2018-08-07 17:20:00,"ARIK.W1.20180807",10,0.0122,5e-04,285.41,17.835,20.87,0.6186,0.6702,0.9735,0.015,265.744,0.018,49.43,29.0001,0.002,0.005,43.7639,403.1,0.0154,0.0021,0.4352,0.3628,0.0573,4.58,0.005,0.019,1.463,1.486,17.74,6.3425,500,6.01,0.027,7.94
"ARIK",2019-04-02 15:00:00,"ARIK.W2.20190402",30,0.0158,0.0112,288.73,14.406,18.25,0.8035,0.9562,2.3626,0.034,203.19,5e-04,47.82,27.7531,0.296,0.005,40.7277,411.12,0,0.003,2.8745,0.4594,0.0983,3.84,0.005,0.0182,2.091,2.106,13.72,10.1221,1500,5.066,0.0762,7.63
"ARIK",2019-04-02 16:25:00,"ARIK.W1.20190402",10,0.0088,0.0171,293.64,15.465,19.14,0.7284,0.7679,1.9199,0.041,218.38,5e-04,49.57,29.0689,0.106,0.005,41.7643,421.27,0,5e-04,2.9164,0.3666,0.0838,3.78,0.005,0.0131,1.677,1.674,13.7,4.4024,500,5.585,0.0112,7.74
"ARIK",2019-04-02 17:45:00,"ARIK.W4.20190402",8,0.1544,0.0711,425.95,1.257,26.36,4.164,4.151,0,0.039,352.69,0.215,89.99,27.7778,0.3,0.005,64.1444,610.58,0,0.4662,2.8672,0.3534,0.0804,5.92,0.005,0.203,0.4157,0.4037,19.09,5.8668,400,6.515,0.1812,7.5
"ARIK",2019-04-02 18:55:00,"ARIK.W5.20190402",32,0.0061,0.0608,436.72,4.029,26.26,3.591,3.522,0,0.046,367.41,0.09,88.4,30.5181,0.309,0.005,70.5778,625.41,0,0.0622,0.5695,0.3303,0.0409,6.58,0.005,0.0087,0.342,0.3242,17.3,4.9027,1600,6.211,0.1282,7.43
"ARIK",2019-08-06 13:19:00,"ARIK.W1.20190806",50,0.1584,0.016,271.7,NA,17.38,0.8787,0.9662,1.4681,0.035,204.04,0.001,48.89,41.32,0.067,0.005,40.319,389.1,0.0015,0.013,2.89,NA,NA,3.58,0.005,0.236,1.339,1.364,13.49,8.43,2500,5.803,0.0152,7.55
"ARIK",2019-08-06 14:25:00,"ARIK.W2.20190806",42,0.0044,0.016,260.2,NA,16.84,0.9624,0.8611,2.09,0.031,190.52,0.006,45.46,43.88,0.091,0.005,37.593,373.1,2e-04,0.013,2.84,NA,NA,3.33,0.005,0.0114,1.826,1.818,12.98,10.28,2100,5.613,0.627,7.59
"ARIK",2019-08-06 15:55:00,"ARIK.W5.20190806",14,0.074,0.047,367,NA,22.62,2.984,3.014,0.0119,0.042,324.56,0.113,78.44,43.2,0.074,0.005,65.685,522.7,0,0.094,1.16,NA,NA,5.95,0.005,0.117,0.2164,0.1837,15.78,9.31,700,6.348,0.1055,7.41
"ARIK",2019-08-06 16:39:00,"ARIK.W4.20190806",4,0.178,0.085,406.5,NA,25.84,4.534,4.27,0.0196,0.043,353.88,0.295,84.05,44.44,0.102,0.005,67.789,579.7,7e-04,1.026,1.04,NA,NA,5.92,0.005,0.2426,0.4015,0.3893,18.39,10.13,200,7.704,0.1962,7.37
"BLUE",2017-05-08 16:36:00,"BLUE.W1.20170508",212,0,0.004,598.43,78.3017,15.787,2.356,0.5624,3.404,0.016,356.112,5e-04,76.09,7.448,0.005,0,122.83,847.25,0.006,5e-04,0.0717,0.3136,0.1337,5.964,0.005,0.0049,3.657,3.81,19.903,27.1353,5300,1.2387,0.008,7.33
"BLUE",2017-05-08 18:26:00,"BLUE.W3.20170508",12,0.0136,0.0395,702.46,62.739,9.983,1.345,1.035,0,0.014,521.394,5e-04,95.46,15.657,0.042,0,121.74,998.24,0.006,5e-04,0.2007,0.4533,0.1097,8.623,0.005,0.023,0.0987,0.2316,42.144,8.339,300,1.3473,0.02,7.28
"BLUE",2017-05-08 20:39:00,"BLUE.W8.20170508",44,0.0119,0.03,427.69,15.6424,4.7633,1.836,0.8264,0.035,0.015,335.363,5e-04,109,12.583,0.032,0,74.025,607.99,0.008,5e-04,0.0354,1.0586,0.0149,5.594,0.005,0.0199,0.1343,0.1356,23.992,4.3024,1100,1.2254,0.024,7.53
"BLUE",2017-05-08 22:49:00,"BLUE.W6.20170508",316,0.017,0.013,501.26,9.6304,6.0596,3.883,0.5892,0.118,0.014,404.296,5e-04,91.19,5.8769,0.015,0,69.3,702.54,0.006,0.0015,0.056,0.282,0.1108,6.741,0.005,0.0241,0.2058,0.3715,38.757,6.0232,7900,1.8024,0.015,7.7
"BLUE",2017-09-11 18:09:00,"BLUE.W6.20170911",46,0.0037,0.0093,312.9,9.7823,6.5843,0.6005,0.6749,0.1165,0.012,250.18,5e-04,94.31,2.3564,0.012,0,22.029,447.8,0.0096,0.0041,0.005,0.3377,0.1015,4.531,0.005,0.0083,0.0656,0.0963,36.323,5.5457,2300,1.998,0.1158,7.35
"BLUE",2017-09-13 16:13:00,"BLUE.W3.20170913",10,0.0104,0.0162,342.1,5.0285,4.37,0.8168,0.8315,0.0292,0.009,280.19,5e-04,94.29,4.8787,0.018,0,45.424,482.6,0.0091,0.0047,0.2972,0.316,0.0798,4.619,0.005,0.0141,0.009,0.0204,27.602,3.3209,500,1.1853,0.1048,7.45
"BLUE",2017-09-13 18:22:00,"BLUE.W8.20170913",54,0.0185,0.0293,363.2,13.549,5.265,1.12,1.245,0.0205,0.013,282.56,5e-04,102.6,4.74,0.031,0,51.428,510.3,0.0083,0.0017,0.1673,0.4421,0.1279,4.71,0.005,0.0255,0.045,0.0282,26.636,4.7548,2700,2.4027,0.1255,7.63
"BLUE",2018-10-15 19:28:00,"BLUE.W7.20181015",2,0.1693,0.0123,603.12,13.809,17.65,2.423,2.272,0.0552,0.069,490.0475,0.104,159,10.9667,0.4587,0.005,87.8585,861.42,0.0231,5e-04,0.005,0.2958,0.0482,8.23,0.005,0.1345,0.2399,0.2514,37.13,11.49,100,2.613,0.0551,7.25
"BLUE",2018-10-15 21:14:00,"BLUE.W4.20181015",2,0.015,0.0238,306.52,7.767,4.873,1.366,1.23,0.355,0.094,277.2786,5e-04,105.8,13.1555,0.0949,0.005,22.7042,436.92,0.0213,5e-04,0.005,0.2987,0.1023,4.65,0.005,0.0269,0.4637,0.4839,40.22,9.36,100,0.345,0.0111,7.27
"BLUE",2019-04-08 19:06:00,"BLUE.W8.20190408",24,0.0172,0.0276,463.14,10.947,3.854,2.443,1.141,0.0282,0.036,374.61,5e-04,105,13.2645,0.254,0.005,90.3229,664.23,0,5e-04,2.3875,1.4021,0.0996,6.33,0.005,0.0281,0.1383,0.1398,23.2,5.3952,1200,0.642,0.0443,7.29
"BLUE",2019-04-09 17:10:00,"BLUE.W2.20190409",4,0.0345,0.012,666.47,84.99,13.24,2.078,2.015,0,0.029,461.15,0.083,96.91,8.8423,0.0255,0.005,130.359,951.15,0,0.2446,0.7292,0.3403,0.0715,7.72,0.005,0.0515,0.1239,0.13,28.78,3.7203,200,0.689,0.0591,7.32
"BLUE",2019-04-09 19:25:00,"BLUE.W4.20190409",18,0.0082,0.0418,621.43,9.138,5.291,1.04,0.9104,0.018,0.031,518.72,0.01,90.37,9.2803,0.0871,0.005,102.627,886.41,0,5e-04,0.6799,0.3632,0.114,8.71,0.005,0.016,0.127,0.1404,41.66,4.4201,900,0.194,0.0978,7.33
"BLUE",2019-04-10 17:30:00,"BLUE.W7.20190410",20,0.0257,0.012,646.94,8.943,7.203,1.386,1.19,0,0.034,539.54,0.191,109.3,8.089,0.167,0.005,100.607,922.64,0,0.0035,1.2706,0.3502,0.0994,8.94,0.005,0.0281,0.0622,0.102,46.23,4.3648,1000,0.487,0.0433,7.48
"BLUE",2019-08-12 17:25:00,"BLUE.W2.20190812",8,NA,NA,NA,NA,NA,1.482,NA,NA,NA,NA,NA,NA,NA,0.092,NA,NA,788.5,NA,NA,NA,NA,NA,7.25,NA,NA,NA,0.1211,NA,NA,400,NA,NA,7.19
"BLUE",2019-08-12 19:16:00,"BLUE.W8.20190812",48,NA,NA,NA,NA,NA,1.109,NA,NA,NA,NA,NA,NA,NA,0.087,NA,NA,695.1,NA,NA,NA,NA,NA,7.82,NA,NA,NA,0.0771,NA,NA,2400,NA,NA,7.33
"BLUE",2019-08-14 17:49:00,"BLUE.W4.20190814",80,NA,NA,NA,NA,NA,1.676,NA,NA,NA,NA,NA,NA,NA,0.166,NA,NA,794.3,NA,NA,NA,NA,NA,8.75,NA,NA,NA,0.1025,NA,NA,4000,NA,NA,7.26
"BLUE",2019-08-15 16:30:00,"BLUE.W7.20190815",5454,1.5047,NA,NA,NA,NA,4.345,5.306,0.0111,0,NA,NA,99.42,NA,2.389,NA,NA,666.7,0,NA,NA,NA,NA,12.11,NA,1.8828,0.406,0.3394,NA,NA,272700,NA,0.0483,7.6
"COMO",2017-06-12 17:12:00,"COMO.W1.20170612",NA,NA,NA,NA,NA,NA,4.546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2897,0.0037,NA,NA,NA,NA,0.1531,NA,NA,NA,NA,NA,NA
"COMO",2017-06-12 19:23:00,"COMO.W3.20170612",888,0.4752,0.02,27.1,2.51,7.004,11.54,9.967,0.034,0.031,18.35,0.009,4.017,4.56,0.023,0,1.18,37.6,0.01,0.573,0.005,0.408,0.0038,0.32,0.005,0.6392,0.4081,0.543,0.17,0.39,22200,0.143,0,6.69
"COMO",2017-06-12 20:42:00,"COMO.W4.20170612",620,0.0648,0.025,18.4,3.3,2.238,4.548,4.388,0.032,0.008,10.95,0.002,4.616,5.43,0.028,0,2.377,26.9,0.008,0.065,0.005,0.2441,0.032,0.18,0.005,0.1008,0.1526,0.1684,0.649,0.72,15500,0.134,0.013,6.58
"COMO",2017-07-26 14:44:00,"COMO.W1.20170726",14,0.1391,0.0101,15.61,0.8636,1.2382,3.608,3.168,0.046,0.036,12.26,0.0051,4.118,5.1071,0.0799,0,2.4928,30.32,0.0256,0.6688,0.005,0.2367,0.0992,0.21,0.005,0.1884,0.1552,0.2072,0.5795,0.3721,700,0.1133,0.0247,7.48
"COMO",2017-07-26 16:14:00,"COMO.W2.20170726",48,0.0768,0.0055,17.43,1.7435,2.037,3.973,3.207,0.0477,0.043,12.08,0.0611,4.526,4.7464,0.0165,0,2.2969,35.77,0.0442,0.1163,0.005,0.2483,0.0747,0.25,0.005,0.1199,0.1402,0.2108,0.437,0.3513,2400,0.181,0.0275,6.66
"COMO",2017-07-26 18:10:00,"COMO.W4.20170726",72,0.0512,0.0089,18.1,1.6824,1.4604,5.055,3.464,0.0478,0.045,13.82,0.0402,4.508,5.6833,0.0812,0,3.0276,40.41,0.0412,0.0152,0.005,0.3032,0.0507,0.24,0.005,0.0845,0.1616,0.1928,0.7005,0.6055,3600,0.2218,0.0346,6.36
"COMO",2018-07-24 15:57:00,"COMO.W2.20180724",32,0.1261,0.006,15.9,1.389,1.147,3.58,2.945,0.0131,0.015,12.62,0.025,4.59,5.95,0.022,0.005,2.226,24.19,0.0159,0.3716,0.005,0.2607,0.089,0.31,0.005,0.1783,0.1124,0.1319,0.816,0.4561,1600,0.207,0.0393,6.01
"COMO",2018-07-24 17:10:00,"COMO.W3.20180724",236,0.7364,0.111,81.7,1.818,15.44,15.71,8.413,0.013,0.205,58.47,0.022,17.21,9.9,0.285,0.005,6.445,117.62,0.0179,3.3254,0.005,0.3782,0.0977,1.02,0.005,0.9901,0.4254,0.8045,1.875,5.3238,11800,0.482,0.1469,6.65
"COMO",2018-07-24 18:12:00,"COMO.W4.20180724",26,0.0413,5e-04,20.3,2.067,1.345,3.103,3.383,0.018,0.014,16.54,0.012,6.902,5.78,0.016,0.005,3.282,30.64,0.0196,0.023,0.005,0.2619,0.0969,0.35,0.005,0.0711,0.113,0.0776,1.083,0.1212,1300,0.251,0.028,6.05
"COMO",2019-05-28 16:45:00,"COMO.W1.20190528",90,0.1683,5e-04,14.94,5.94,0.832,6.008,5.625,0.036,0.044,1.14,0.067,4.038,4.8811,0.1767,0.005,2.0315,20.08,0,0.3811,0.005,0.3186,0.1252,0.03,0.005,0.2411,0.1595,0.1881,0.557,1.65,4500,0.255,0.156,6.33
"COMO",2019-05-28 18:10:00,"COMO.W2.20190528",426,0.1739,0.017,18.24,6.51,0.984,6.027,4.95,0.0086,0.048,4.75,0.038,4.093,6.9208,0.4541,0.005,2.587,26.08,0,0.7877,0.005,0.2884,0.091,0.09,0.005,0.24,0.1821,0.2665,0.959,1.64,21300,0.258,0.0601,6.18
"COMO",2019-05-28 19:25:00,"COMO.W3.20190528",212,0.6552,0.2184,65.77,25.7,9.654,6.68,4.719,0.0118,0.045,19.89,0.56,10.96,29.1589,0.3036,0.005,5.3479,91.54,0,7.6001,0.005,0.3125,0.0937,0.42,0.005,0.8594,0.2357,0.3673,2.282,1.4,10600,1.181,0.1307,6.5
"COMO",2019-05-28 21:21:00,"COMO.W4.20190528",76,0.1251,5e-04,24.56,12.38,1.827,5.176,3.469,0.0097,0.047,3.74,0.005,5.675,7.6607,0.2951,0.005,3.239,33.63,0,1.1427,0.005,0.2609,0.1243,0.07,0.005,0.1811,0.1075,0.2208,0.956,0.1516,3800,0.208,0.0495,6.07
"COMO",2019-07-23 16:15:00,"COMO.W1.20190723",48,0.1295,0.0186,16.98,0.483,1.401,3.769,3.388,0.0106,0.039,5.47,0.007,7.505,7.5484,0.2839,0.005,2.2516,23.57,9e-04,0.4228,0.947,0.294,0.0946,0.11,0.005,0.1824,0.1241,0.1237,0.581,2.7628,2400,0.173,0.121,6.44
"COMO",2019-07-23 17:29:00,"COMO.W2.20190723",30,0.1216,0.0253,14.08,0.984,1.125,4.276,3.525,0.0101,0.042,5.98,0.005,7.372,6.1835,0.379,0.005,1.84,19.85,9e-04,0.0665,1.21,0.2849,0.0547,0.12,0.005,0.1777,0.1419,0.1146,0.487,0.38,1500,0.215,0.0992,6.2
"COMO",2019-07-23 18:38:00,"COMO.W3.20190723",262,NA,NA,NA,NA,NA,9.082,NA,NA,NA,NA,NA,NA,NA,0.4259,NA,NA,68.54,NA,NA,NA,0.2997,0.1675,0.4,NA,NA,NA,0.3787,NA,NA,13100,NA,NA,6.48
"COMO",2019-07-23 19:34:00,"COMO.W4.20190723",22,0.0602,0.0112,24.18,2.055,1.732,3.796,3.696,0.0103,0.035,9.43,0.005,10.91,8.9853,0.3264,0.005,3.2258,33.66,0,0.0426,0.5819,0.2831,0.1153,0.18,0.005,0.0835,0.1136,0.102,0.923,3.3291,1100,0.309,0.0766,6.2
"MART",2018-03-01 18:12:00,"MART.W1.20180301",900,0.0449,5e-04,25.2,0.4,2.933,14.47,0.7485,0.0195,0.029,7.92,5e-04,3.932,7.02,0.001,0.005,4.982,37.08,0.015,0.005,0.005,1.4006,0.2561,0.15,0.005,0.0561,0.0559,0.8588,0.625,10.25,45000,0.089,0.0101,6.47
"MART",2018-03-01 18:35:00,"MART.W2.20180301",2548,0.8051,5e-04,25.9,0.35,2.948,3.609,1.167,0.157,0.067,17.97,0.002,5.117,7.44,0.001,0.005,3.006,37.44,0.0154,0.238,0.005,1.0876,0.1748,0.33,0.005,0.8832,0.2406,0.447,0.615,1.12,127400,0.163,0.0014,6.77
"MART",2018-03-01 18:51:00,"MART.W5.20180301",5490,4.0441,5e-04,16.2,0.31,1.79,3.224,1.963,0.0098,0.405,20.5,0.007,5.015,7.53,0.002,0.005,1.526,22.62,0.0229,0.911,0.005,0.8163,0.2073,0.38,0.005,4.5461,0.1538,0.2677,0.366,5.26,274500,0.221,0.0894,5.71
"MART",2018-03-01 19:11:00,"MART.W6.20180301",6430,6.5538,5e-04,31.3,1.07,2.572,2.919,1.557,0.2572,0.229,14.27,0.014,5.818,8.36,0.001,0.005,2.964,43.2,0.0201,0.989,0.005,5.1578,0.4483,0.26,0.005,7.2277,0.5231,0.6286,0.641,2.48,321500,0.496,0.1332,6.1
"MART",2018-11-15 18:51:00,"MART.W2.20181115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4263,0.1201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MART",2018-11-15 19:29:00,"MART.W3.20181115",1502,1.5632,0.055,43.69,0.18,3.143,41.15,2.211,0,0.192,22.17,0.02,9.636,19.21,1.3643,0.005,5.822,63.27,0.0536,2.39,1.5,0.6401,0.1544,0.42,0.02,1.8556,0.2311,3.879,2.189,1.43,75100,5e-04,0.1235,6.29
"MART",2018-11-15 20:41:00,"MART.W6.20181115",NA,0.0615,NA,NA,NA,NA,NA,2.464,0.046,0.21,NA,NA,22.46,NA,NA,NA,NA,NA,0.0543,NA,NA,0.7354,0.1231,NA,NA,0.0787,0.4543,NA,NA,NA,NA,NA,0.1394,NA
"MART",2019-02-28 17:29:00,"MART.W2.20190228",1014,0.0119,0.0226,43.9,0.117,2.697,19.27,1.17,0,0.044,33.69,0.074,8.276,10.1724,2.504,0.005,6.5937,60.25,0.0397,0.5601,0.63,0.5099,0.0821,0.64,0.005,0.0162,0.1104,1.755,1.403,1.01,50700,1.058,0.1022,6.73
"MART",2019-02-28 18:29:00,"MART.W3.20190228",1634,0.0547,0.2111,35.25,0.192,2.604,43.54,1.84,0,0.021,26.34,0.055,6.501,24.6294,4.172,0.005,4.2692,51.83,0.0402,5.516,0.85,0.3858,0.0698,0.45,0.005,0.0638,0.1353,2.872,1.642,1.06,81700,1.632,0.0815,6.37
"MART",2019-02-28 19:22:00,"MART.W6.20190228",792,0.0066,5e-04,113.1,18.465,4.221,28.98,1.821,0,0.091,67.58,1.105,15.14,6.9084,3.127,0.005,20.1581,159.47,0.0409,0.1681,0.52,0.6618,0.1043,1.22,0.005,0.0117,0.1962,2.456,3.703,1.85,39600,3.507,0.103,7.01
